[1481259600] LOG ROTATION: DAILY
[1481259600] LOG VERSION: 2.0
[1481259600] CURRENT HOST STATE: FTTH-AFZ01;DOWN;HARD;4;PING CRITICAL - Packet loss = 100%
[1481259600] CURRENT HOST STATE: FTTH-AMERICAN_DATA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.07 ms
[1481259600] CURRENT HOST STATE: FTTH-AMERICAN_DATA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.27 ms
[1481259600] CURRENT HOST STATE: FTTH-CIS01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 137.08 ms
[1481259600] CURRENT HOST STATE: FTTH-LUMINET01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 3.25 ms
[1481259600] CURRENT HOST STATE: FTTH-MERIDIANO01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.38 ms
[1481259600] CURRENT HOST STATE: FTTH-SABANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.75 ms
[1481259600] CURRENT HOST STATE: FTTH-SANTA_ANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 5.13 ms
[1481259600] CURRENT HOST STATE: FTTH-SANTA_ANA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.78 ms
[1481259600] CURRENT HOST STATE: FTTH-SANTA_ANA03;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.54 ms
[1481259600] CURRENT HOST STATE: FTTH-WORLDCOM01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.07 ms
[1481259600] CURRENT HOST STATE: FTTH-ZAPOTE01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.36 ms
[1481259600] CURRENT HOST STATE: OS-MONITOREO;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.10 ms
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - BOSH;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - CITRIX;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - COGNIZANT;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - FIDELITAS;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - TEGRAMEDICAL;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;PING;CRITICAL;HARD;4;PING CRITICAL - Packet loss = 100%
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;TRONCAL SANTA_ANA01;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AFZ01;WORLDCOM - PEUGEOT;OK;HARD;1;(No output on stdout) stderr:
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - AGATHA;OK;HARD;1;OK - Average IN: 240.8b (0.00%), Average OUT: 644.56b (0.00%)Total RX: 2507.97Gbits, Total TX: 207.90Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;OK - Average IN: 2.78Mb (2.78%), Average OUT: 42.16Mb (42.16%)Total RX: 35735.66Gbits, Total TX: 68890.85Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - BLUE CROSS;OK;HARD;1;OK - Average IN: 1.87Mb (1.87%), Average OUT: 128.43Kb (0.13%)Total RX: 17165.95Gbits, Total TX: 2998.01Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - BOSH;OK;HARD;1;OK - Average IN: 1.22Kb (0.00%), Average OUT: 2.95Kb (0.00%)Total RX: 510.36Gbits, Total TX: 443.79Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - CELLISTIC;OK;HARD;1;OK - Average IN: 11.88Kb (0.01%), Average OUT: 11.91Kb (0.01%)Total RX: 301.74Gbits, Total TX: 172.72Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - CHESSYS;OK;HARD;1;OK - Average IN: 20.31Kb (0.02%), Average OUT: 12.76Kb (0.01%)Total RX: 8285.17Gbits, Total TX: 1069.26Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - COGNISAN;OK;HARD;1;OK - Average IN: 2.09Kb (0.00%), Average OUT: 2.68Kb (0.00%)Total RX: 39.59Gbits, Total TX: 55.20Gbits
[1481259600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - DEL MONTE;OK;HARD;1;OK - Average IN: 1.51Mb (1.51%), Average OUT: 2.22Mb (2.22%)Total RX: 92748.79Gbits, Total TX: 21530.59Gbits
