[1481691600] LOG ROTATION: DAILY
[1481691600] LOG VERSION: 2.0
[1481691600] CURRENT HOST STATE: FTTH-AFZ01;DOWN;HARD;4;PING CRITICAL - Packet loss = 100%
[1481691600] CURRENT HOST STATE: FTTH-AMERICAN_DATA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 3.62 ms
[1481691600] CURRENT HOST STATE: FTTH-AMERICAN_DATA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.09 ms
[1481691600] CURRENT HOST STATE: FTTH-CIS01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 84.88 ms
[1481691600] CURRENT HOST STATE: FTTH-LUMINET01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 3.04 ms
[1481691600] CURRENT HOST STATE: FTTH-MERIDIANO01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.92 ms
[1481691600] CURRENT HOST STATE: FTTH-SABANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 3.13 ms
[1481691600] CURRENT HOST STATE: FTTH-SANTA_ANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 6.26 ms
[1481691600] CURRENT HOST STATE: FTTH-SANTA_ANA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.67 ms
[1481691600] CURRENT HOST STATE: FTTH-SANTA_ANA03;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.13 ms
[1481691600] CURRENT HOST STATE: FTTH-WORLDCOM01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.35 ms
[1481691600] CURRENT HOST STATE: FTTH-ZAPOTE01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 4.85 ms
[1481691600] CURRENT HOST STATE: INASOL-ESS;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.92 ms
[1481691600] CURRENT HOST STATE: OS-MONITOREO;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.11 ms
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - BOSH;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - CITRIX;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - COGNIZANT;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - FIDELITAS;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - TEGRAMEDICAL;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;PING;CRITICAL;HARD;4;PING CRITICAL - Packet loss = 100%
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;TRONCAL SANTA_ANA01;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AFZ01;WORLDCOM - PEUGEOT;OK;HARD;1;(No output on stdout) stderr:
[1481691600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - AGATHA;OK;HARD;1;OK - Average IN: 251.28b (0.00%), Average OUT: 746.32b (0.00%)Total RX: 2508.09Gbits, Total TX: 208.21Gbits
[1481691600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;OK - Average IN: 1.30Mb (1.30%), Average OUT: 141.21Kb (0.14%)Total RX: 37979.27Gbits, Total TX: 72977.05Gbits
[1481691600] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - BLUE CROSS;OK;HARD;1;OK - Average IN: 50.80Kb (0.05%), Average OUT: 66.71Kb (0.07%)Total RX: 18317.57Gbits, Total TX: 3172.58Gbits
